Title,Article
"Deccan Herald brings Latest News, Breaking News, Live News, India News, World News on Politics, Election, Sports, Bollywood, Hollywood, Business with all analysis & reports","National

All in a boat in flood-hit West Bengal Published on 18-Aug-2017 Maqbul Mian has not eaten a proper meal for the last five days and is struggling to...

Millions battle floods in east Published on 18-Aug-2017 The flood situation in Bihar and Assam worsened as 36 people lost their lives while over...

'Wrong to ask for consent in abortion' Published on 18-Aug-2017 Doctors should be ""absolutely careful"" and ""not overemphasise"" the consent of guardians...

BJP eyes 120 LS seats it never won Published on 18-Aug-2017 The BJP has started early preparations for the 2019 polls. Party president Amit Shah...

Centre to address Bhutan's GST concerns Published on 18-Aug-2017 The government is moving fast to address Bhutan's concerns over implications of India's...

Govt quizzed on conspiracy in Rajiv's death Published on 18-Aug-2017 The Supreme Court on Thursday sought to know the status of an investigation into the...

Activist Irom Sharmila marries long-time partner Published on 18-Aug-2017 Manipur civil rights activist Irom Chanu Sharmila married her long-time British partner...

Centre urges schools to dedicate fortnight to promote cleanliness Published on 17-Aug-2017 The Centre has sought to engage country's schools in a 15-day long special drive to...

Shinde on mission Himachal Published on 17-Aug-2017 Ahead of the November elections, Congress has got cracking in Himachal Pradesh by putting..."
Mars 2020 rover to use smart techniques to find signs of life,"Mars 2020 rover to use smart techniques to find signs of life

Press Trust of India, London, Aug 17 2017, 15:44 IST

The rover will use an X-ray technique originally used on Earth to locate ancient life or remains thereof to search for life on Mars, as opposed to the current chemistry-based technique.

NASA's Mars 2020 rover, which will look for signs of past life on the red planet, will use smart X-ray techniques originally developed to find the oldest life on Earth, according to a mission scientist.



The Mars Exploration Program with a planned launch in 2020 builds on the success of prior rovers, to make coordinated measurements that could detect signs of ancient life - or bio-signatures - in their original spatial context.



These techniques, known as ""spatially resolved bio-signature analysis"" derive from geochemical analysis of early life on Earth.



""Previous missions to Mars have used a relatively broad brush - analysing average chemistry over roughly the size of a postage stamp - to 'follow the water' and seek ancient habitable environments,"" said the mission's Deputy Project Scientist Ken Williford, from NASA's Jet Propulsion Laboratory.



""Mars 2020 takes the next natural step in its direct search for evidence of ancient microbial life, focusing measurements to the microbial scale and producing high- resolution maps over similarly postage stamp-sized analytical areas,"" said Williford, while speaking at the Goldschmidt conference in Paris.



He said that new scientific methods for searching for the most ancient evidence for life on Earth have led to a leap forward in capabilities for bio-signature detection.



Rather than using ""bulk"" geochemistry techniques that measure the average composition of a rock, Mars 2020 is developing new capabilities including X-ray fluorescence and Raman spectroscopy to map the elemental, mineral, and organic composition of rocks at high spatial resolution, with analytical spot sizes about the width of a human hair, said Williford.



""Understanding the spatial distribution of chemical features preserved in ancient rocks is key to determining whether or not they were formed by life.



""Beyond astrobiology, these new techniques enable exploration of the planet Mars at telescopic to microscopic scales - from a mountain to a grain of sand,"" said Williford.



The instruments in development for Mars 2020 have roots in the search for the earliest signs of life on Earth, as well as life in extreme environments - deep underground, or in hydrothermal settings along ocean-floor ridges.



When these methods have been applied on Earth they have enabled scientists to lower limits of detection or to better understand formerly ambiguous observations.



In addition, the Mars 2020 mission will use the knowledge gained from its scientific exploration to select and collect key samples that could one day be examined in laboratories back on Earth.



Thirty to forty rock and sediment core samples, each about 15 grammes, will be sealed in titanium tubes and deposited in a safe location on the surface of Mars for possible retrieval by a future mission, said Williford.



He also discussed the three remaining candidate landing sites for the Mars 2020 mission.



One site at Columbia Hills in Gusev crater, was visited previously by the Spirit rover and features silica deposits interpreted by some as analogous to hydrothermal springs known to be inhabited on Earth.



The two other sites are located close together on the edge of Isidis Planitia, one of the largest and oldest impact craters in the solar system."
"Deccan Herald brings Latest News, Breaking News, Live News, India News, World News on Politics, Election, Sports, Bollywood, Hollywood, Business with all analysis & reports","News

Hoteliers give solid waste mgmt programme a miss Published on 20-Mar-2015 The programme organised by the Pollution Control Board to discuss about solid waste management, in Mandya city, evoked a lukewarm...

Railway reservations to be overhauled through e-ticketing Published on 08-Jul-2014 The Indian Railways' reservation system will be overhauled through e-ticketing systems, Railway Minister Sadanand Gowda said Tuesday, presenting the railway budget for 2014-15 in parliament....

Industrial production remains negative, dips 0.5% in March Published on 12-May-2014 Showing no signs of recovery, factory production remained in negative territory for the second month in a row, contracting 0.5 per cent in March due...

RBI stops banks from extending ECBs for repaying rupee loans Published on 22-Apr-2014 The Reserve Bank of India on Tuesday disallowed overseas branches of domestic banks from extending external commercial borrowings (ECBs)...

Three accused in Shakti Mills gang rape get death Published on 04-Apr-2014 A court here Friday sentenced three people to death for gang raping a photo-journalist in a repeat offence in the Shakti Mills complex here last...

Strike cripples banking operations in India Published on 20-Feb-2013 Banking transactions across India were paralysed Wednesday with around one million bankers striking work, affecting the clearance of around four million cheques...

Join Deccan Herald on YouTube Published on 24-Jul-2012 Deccan Heralds multi-media team has begun to produce videos on many interesting topics. These videos capture different slices of city life- from an encounter...

New judges made to wait for Mamata's signature to take oath Published on 09-Apr-2012 The swearing-in ceremony of seven new judges of the Calcutta High Court had to be deferred by several hours Monday as West Bengal Chief Minister...

Tens of thousands challenge Putin in new Russia protest Published on 24-Dec-2011 Tens of thousands of people today filled an avenue in Moscow to protest against the alleged rigging of parliamentary polls, in a new challenge to..."
